,accountability,category,district,enrollment,name,turnover_rate,type
99,64,Elementary/Secondary School4–8,Beloit,525,Aldrich Intermediate,17.3%,
100,-,Elementary/Secondary School6–12,Beloit,156,Beloit Learning Academy,37.2%,Alternative
101,-,Elementary/Secondary SchoolK4–12,Beloit,51,Beloit Virtual School,76.5%,
102,82,Elementary SchoolK4–3,Beloit,423,Converse Elementary,17.1%,
103,60,Elementary/Secondary School4–8,Beloit,660,Cunningham Intermediate,17.4%,
104,57,Elementary/Secondary School4–8,Beloit,598,Fran Fruzen Intermediate,11.7%,
105,63,Elementary SchoolK4–3,Beloit,364,Gaston Elementary,14.4%,
106,64,Elementary SchoolK4–3,Beloit,369,Hackett Elementary,15.4%,
107,61,Elementary/Secondary School4–8,Beloit,685,McNeel Intermediate,16.2%,
108,58,High School9–12,Beloit,"1,733",Memorial High,14.8%,
109,49,Elementary SchoolK4–3,Beloit,251,Merrill Elementary,20.4%,
110,73,Elementary SchoolK4–3,Beloit,475,Robinson Elementary,14.1%,
111,-,Elementary/Secondary School6–12,Beloit,33,Roy Chapman Andrews Academy,66.7%,Charter
112,-,Elementary SchoolK4–2,Beloit Turner,356,Powers Elementary,4.8%,
113,78,Elementary School3–5,Beloit Turner,323,Townview Elementary,4.3%,
114,71,High School9–12,Beloit Turner,463,Turner High,5.6%,
115,84,Elementary SchoolK4–6,Benton,119,Benton Elementary,15.8%,
116,62,High School9–12,Berlin Area,561,Berlin High,8.2%,
117,67,Middle School6–8,Berlin Area,330,Berlin Middle,6.4%,
118,-,High School7–12,Birchwood,11,Birchwood Blue Hills Charter School,-,Charter
119,89,Elementary SchoolK4–5,Birchwood,117,Birchwood Elementary,11.5%,
120,-,High School9–12,Birchwood,67,Birchwood High,10.4%,
121,71,Middle School6–8,Birchwood,62,Birchwood Middle,4.8%,
122,-,Elementary SchoolK4–6,Birchwood,47,Birchwood Public Montessori,26.3%,Charter
123,72,Elementary SchoolK4–5,Black Hawk,203,Black Hawk Elementary,6.0%,
124,58,High School9–12,Black Hawk,105,Black Hawk High,4.8%,
125,56,High School9–12,Black River Falls,505,Black River Falls High,12.7%,
126,72,Middle School6–8,Black River Falls,370,Black River Falls Middle,4.9%,
127,-,Elementary SchoolK4–1,Black River Falls,348,Forrest Street Early Learning Center,4.8%,
128,69,Elementary SchoolK4–6,Blair-Taylor,319,Blair-Taylor Elementary,10.2%,
129,71,High School7–12,Blair-Taylor,249,Blair-Taylor Middle/High,9.2%,
130,75,Elementary SchoolK4–4,Bloomer,521,Bloomer Elementary,4.3%,
131,60,High School9–12,Bloomer,387,Bloomer High,7.2%,
132,87,Elementary SchoolK4–5,Bonduel,316,Bonduel Elementary,9.0%,
133,62,High School9–12,Bonduel,303,Bonduel High,6.3%,
134,66,Elementary SchoolK4–6,Boscobel Area,462,Boscobel Elementary,7.8%,
135,63,High School9–12,Boscobel Area,241,Boscobel High,10.4%,
136,69,Elementary SchoolK4–6,Bowler,198,Bowler Elementary,8.7%,
137,84,High School9–12,Boyceville Community,205,Boyceville High,4.9%,
138,70,Middle School7–8,Boyceville Community,105,Boyceville Middle,7.6%,
139,72,Elementary SchoolK4–5,Brillion,370,Brillion Elementary,7.2%,
140,57,High School9–12,Brillion,321,Brillion High,4.0%,
141,68,High School9–12,Brodhead,333,Brodhead High,7.8%,
142,68,Middle School6–8,Brodhead,162,Brodhead Middle,9.9%,
143,74,Elementary SchoolK4–6,Brown Deer,820,Brown Deer Elementary,15.3%,
144,75,Elementary SchoolK4–5,Bruce,190,Bruce Elementary,11.0%,
145,58,High School9–12,Bruce,137,Bruce High,16.1%,
146,69,High School9–12,Burlington Area,"1,127",Burlington High,6.2%,
147,83,Elementary SchoolK4–4,Burlington Area,424,Cooper Elementary,12.3%,
148,74,Elementary School4–6,Burlington Area,420,Dr Edward G Dyer School,3.6%,
149,80,Elementary SchoolPK–4,Burlington Area,72,Lyons Center,5.6%,
150,84,Middle School7–8,Burlington Area,445,Nettie E Karcher School,4.5%,
151,71,Elementary SchoolK4–4,Burlington Area,437,Waller Elementary,7.9%,
152,75,Elementary SchoolK4–5,Butternut,84,Butternut Elementary,18.8%,
153,65,Elementary SchoolK4–6,Cadott Community,471,Cadott Elementary,6.7%,
154,41,High School9–12,Cadott Community,242,Cadott High,4.1%,
155,71,Elementary SchoolK4–5,Cambria-Friesland,181,Cambria Friesland Elementary,12.2%,
156,82,Elementary SchoolK4–5,Cambridge,418,Cambridge Elementary,4.0%,
157,74,High School9–12,Cambridge,253,Cambridge High,4.3%,
158,75,Elementary/Secondary SchoolK5–12,Cameron,62,Cameron Academy of Virtual Education,14.5%,"Charter
Alternative
Virtual"
159,80,Elementary SchoolK4–4,Cameron,492,Cameron Elementary,7.2%,
160,57,High School9–12,Cameron,247,Cameron High,7.7%,
161,79,Middle School5–8,Cameron,273,Cameron Middle,7.7%,
162,77,Elementary SchoolK4–5,Campbellsport,367,Campbellsport Elementary,5.8%,
163,59,High School9–12,Campbellsport,425,Campbellsport High,3.5%,
164,73,Middle School6–8,Campbellsport,294,Campbellsport Middle,5.4%,
165,81,Elementary SchoolK4–5,Cashton,302,Cashton Elementary,8.8%,
166,85,Elementary SchoolK4–6,Cassville,96,Cassville Elementary,8.3%,
167,92,Elementary SchoolK4–4,Cedar Grove-Belgium Area,406,Cedar Grove-Belgium Elementary,10.5%,
168,79,High School9–12,Cedar Grove-Belgium Area,352,Cedar Grove-Belgium High,9.1%,
169,70,High School9–12,Cedarburg,"1,126",Cedarburg High,4.0%,
170,90,Elementary SchoolK4–5,Cedarburg,462,Parkview Elementary,7.4%,
171,83,Elementary SchoolK4–5,Cedarburg,471,Thorson Elementary,5.4%,
172,81,Middle School6–8,Cedarburg,679,Webster Middle,2.6%,
173,61,High School9–12,Chequamegon,231,Chequamegon High,5.2%,
174,73,Middle School6–8,Chequamegon,171,Chequamegon Middle,2.3%,
175,-,High School9–12,Chequamegon,11,Class ACT Charter,-,Charter
176,-,Elementary SchoolK4–3,Chequamegon,38,Glidden Elementary,15.2%,
177,75,High School9–12,Chetek-Weyerhaeuser Area,247,Chetek-Weyerhaeuser High,10.1%,
178,79,Middle School6–8,Chetek-Weyerhaeuser Area,198,Chetek-Weyerhaeuser Middle,8.1%,
179,82,Elementary SchoolK4–5,Chetek-Weyerhaeuser Area,491,Chetek-Weyerhaeuser Roselawn Elementary,10.1%,
180,76,Elementary SchoolK4–4,Chilton,456,Chilton Elementary,4.9%,
181,71,High School9–12,Chilton,385,Chilton High,4.7%,
182,59,High School9–12,Chippewa Falls Area Unified,"1,536",Chippewa Falls High,8.1%,
183,65,Middle School6–8,Chippewa Falls Area Unified,"1,097",Chippewa Falls Middle,6.5%,
184,92,Elementary SchoolK5–5,Chippewa Falls Area Unified,407,Halmstad Elementary,11.3%,
185,82,Elementary SchoolK5–5,Chippewa Falls Area Unified,422,Hillcrest Elementary,5.7%,
186,92,Elementary SchoolK5–5,Chippewa Falls Area Unified,144,Jim Falls Elementary,6.9%,
187,70,Elementary SchoolK5–5,Chippewa Falls Area Unified,490,Parkview Elementary,14.5%,
188,81,Elementary SchoolPK–5,Chippewa Falls Area Unified,333,Southview Elementary,12.0%,
189,74,Elementary SchoolK4–5,Clayton,176,Clayton Elementary,8.4%,
190,58,High School9–12,Clayton,112,Clayton High,3.6%,
191,59,High School9–12,Clear Lake,189,Clear Lake High,5.8%,
192,73,Junior High School7–8,Clear Lake,93,Clear Lake Junior High,6.5%,
193,77,Elementary SchoolK4–4,Clinton Community,404,Clinton Elementary,5.1%,
194,72,High School9–12,Clinton Community,365,Clinton High,7.4%,
195,56,High School9–12,Clintonville,507,Clintonville High,11.8%,
196,78,Middle School5–8,Clintonville,335,Clintonville Middle,8.4%,
197,76,Elementary SchoolK4–6,Cochrane-Fountain City,343,Cochrane-Fountain City Elementary,7.3%,
198,80,Elementary SchoolK5–5,Colby,391,Colby Elementary,7.2%,
199,74,High School9–12,Colby,291,Colby High,7.6%,
200,78,Elementary SchoolK4–5,Coleman,362,Coleman Elementary,8.0%,
201,64,High School9–12,Coleman,219,Coleman High,3.6%,
202,68,Elementary SchoolK4–6,Colfax,455,Colfax Elementary,6.3%,
203,47,Elementary SchoolK4–3,Columbus,362,Columbus Elementary,9.4%,
204,65,High School9–12,Columbus,382,Columbus High,6.5%,
205,72,Middle School4–8,Columbus,482,Columbus Middle,6.2%,
206,84,Elementary SchoolK4–5,Cornell,199,Cornell Elementary,8.6%,
207,63,High School9–12,Cornell,110,Cornell High,12.7%,
208,70,Elementary SchoolK4–5,Crandon,457,Crandon Elementary,8.6%,
209,53,High School9–12,Crandon,237,Crandon High,11.8%,
210,77,Elementary SchoolK4–6,Crivitz,436,Crivitz Elementary,4.8%,
211,69,High School9–12,Crivitz,211,Crivitz High,10.0%,
212,82,Elementary SchoolK4–8,Cuba City,426,Cuba City Elementary,4.2%,
213,61,High School9–12,Cudahy,713,Cudahy High,7.3%,
214,60,Middle School6–8,Cudahy,551,Cudahy Middle,11.3%,
215,72,Elementary SchoolK4–5,Cudahy,115,Jones Elementary,10.5%,
216,68,Elementary SchoolK4–5,Cudahy,299,Kosciuszko Elementary,13.4%,
217,75,Elementary SchoolK4–5,Cudahy,283,Lincoln Elementary,14.1%,
218,67,Elementary SchoolK4–5,Cudahy,247,Mitchell Elementary,16.0%,
219,74,Elementary SchoolK4–4,Cumberland,390,Cumberland Elementary,10.4%,
220,67,High School9–12,Cumberland,273,Cumberland High,7.0%,
221,74,Middle School5–8,Cumberland,270,Cumberland Middle,8.5%,
222,65,High School7–12,Cumberland,35,Island City Academy,22.9%,Charter
223,70,High School10–12,D C Everest Area,"1,184",D C Everest High,4.5%,
224,68,High School6–12,D C Everest Area,74,D C Everest Idea School,18.9%,Charter
225,75,Junior High School8–9,D C Everest Area,847,D C Everest Junior High,4.3%,
226,64,Middle School6–7,D C Everest Area,835,D C Everest Middle,3.0%,
227,78,Elementary SchoolPK–5,D C Everest Area,497,Evergreen Elementary,8.5%,
228,81,Elementary SchoolPK–5,D C Everest Area,104,Hatley Elementary,7.8%,
229,82,Elementary SchoolPK–5,D C Everest Area,465,Mountain Bay Elementary,10.8%,
230,84,Elementary SchoolPK–5,D C Everest Area,530,Riverside Elementary,4.0%,
231,71,Elementary SchoolPK–5,D C Everest Area,428,Rothschild Elementary,10.5%,
232,70,Elementary SchoolK4–8,Darlington Community,588,Darlington Elementary/Middle,4.3%,
233,68,High School9–12,De Forest Area,"1,033",De Forest High,3.7%,
234,74,Middle School5–8,De Forest Area,"1,004",De Forest Middle,4.5%,
235,81,Elementary SchoolK5–4,De Forest Area,352,Eagle Point Elementary,6.0%,
236,72,Elementary SchoolK5–4,De Forest Area,598,Windsor Elementary,18.6%,
237,75,High School9–12,De Pere,"1,399",De Pere High,4.4%,
238,81,Middle School7–8,De Pere,623,De Pere Middle,2.9%,
239,80,Elementary SchoolK4–4,De Pere,563,Dickinson Elementary,8.1%,
240,91,Middle School5–6,De Pere,590,Foxview Intermediate,2.4%,
241,88,Elementary SchoolK4–4,De Pere,573,Heritage Elementary,6.5%,
242,68,High School9–12,De Soto Area,152,De Soto High,5.3%,
243,74,Middle School6–8,De Soto Area,118,De Soto Middle,4.2%,
244,-,Elementary/Secondary SchoolK5–12,De Soto Area,6,De Soto Virtual School,-,"Charter
Virtual"
245,82,Elementary SchoolK4–5,De Soto Area,105,Prairie View Elementary,12.1%,
246,80,Elementary SchoolK4–6,Deerfield Community,473,Deerfield Elementary,6.0%,
247,72,High School9–12,Deerfield Community,186,Deerfield High,6.5%,
248,77,Elementary School4–5,Delavan-Darien,279,Darien Elementary,8.6%,
249,63,High School9–12,Delavan-Darien,731,Delavan-Darien High,5.9%,
250,85,Middle School6–8,Delavan-Darien,482,Phoenix Middle,6.2%,
251,-,Elementary/Secondary School7–12,Denmark,30,Denmark Community School,26.7%,Charter
252,88,Elementary School1–5,Denmark,537,Denmark Elementary,3.0%,
253,66,High School9–12,Denmark,453,Denmark High,4.9%,
254,75,Elementary SchoolK4–5,Dodgeland,367,Dodgeland Elementary,6.3%,
255,62,High School9–12,Dodgeland,241,Dodgeland High,7.9%,
256,72,Elementary SchoolK4–5,Dodgeville,524,Dodgeville Elementary,9.2%,
257,71,High School9–12,Dodgeville,420,Dodgeville High,4.5%,
258,70,Middle School6–8,Dodgeville,263,Dodgeville Middle,8.0%,
259,74,Elementary SchoolK4–6,Drummond Area,207,Drummond Elementary,6.5%,
260,67,High School9–12,Drummond Area,117,Drummond High,10.3%,
261,79,Elementary SchoolK4–5,Durand-Arkansaw,484,Caddie Woodlawn Elementary,9.3%,
262,-,Elementary SchoolK4–1,East Troy Community,280,Doubek Elementary,12.8%,
263,66,High School9–12,East Troy Community,582,East Troy High,5.1%,
264,63,Middle School6–8,East Troy Community,377,East Troy Middle,1.9%,
265,78,Elementary SchoolK4–5,Eau Claire Area,298,Chippewa Valley Montessori Charter School,7.2%,Charter
266,79,Elementary SchoolK5–5,Eau Claire Area,356,Davey Elementary,7.3%,
267,77,Middle School6–8,Eau Claire Area,953,DeLong Middle,6.9%,
268,90,Elementary SchoolK5–5,Eau Claire Area,314,Flynn Elementary,16.2%,
269,87,Elementary SchoolK5–5,Eau Claire Area,432,Lakeshore Elementary,16.4%,
270,77,Elementary SchoolK5–5,Eau Claire Area,270,Locust Lane Elementary,12.2%,
271,75,Elementary SchoolK5–5,Eau Claire Area,249,Longfellow Elementary,22.1%,
272,72,Elementary SchoolK5–5,Eau Claire Area,426,Manz Elementary,13.2%,
273,-,High School6–12,Eau Claire Area,111,McKinley Charter School,18.9%,"Charter
Alternative"
274,85,Elementary SchoolK5–5,Eau Claire Area,467,Meadowview Elementary,12.0%,
275,74,High School9–12,Eau Claire Area,"1,739",Memorial High,9.7%,
276,68,High School9–12,Eau Claire Area,"1,347",North High,9.3%,
277,75,Middle School6–8,Eau Claire Area,507,Northstar Middle,7.5%,
278,80,Elementary SchoolK5–5,Eau Claire Area,410,Northwoods Elementary,11.5%,
279,75,Elementary SchoolK5–5,Eau Claire Area,410,Putnam Heights Elementary,8.1%,
280,85,Elementary SchoolK5–5,Eau Claire Area,483,Robbins Elementary,11.0%,
281,74,Elementary SchoolK5–5,Eau Claire Area,295,Roosevelt Elementary,12.2%,
282,-,Elementary/Secondary School4–12,Eau Claire Area,19,Second Avenue School,-,Alternative
283,82,Elementary SchoolK5–5,Eau Claire Area,475,Sherman Elementary,12.4%,
284,77,Elementary SchoolK4–5,Edgar,301,Edgar Elementary,4.6%,
285,65,High School9–12,Edgar,191,Edgar High,1.6%,
286,77,Elementary SchoolK4–5,Edgerton,823,Edgerton Community Elementary,7.3%,
287,65,High School9–12,Edgerton,537,Edgerton High,5.4%,
288,72,Middle School6–8,Edgerton,389,Edgerton Middle,4.4%,
289,62,Elementary SchoolK4–5,Elcho,157,Elcho Elementary,15.1%,
290,55,High School9–12,Elcho,103,Elcho High,11.7%,
291,81,Elementary School4–6,Eleva-Strum,127,Eleva Elementary,10.2%,
292,78,High School7–12,Eleva-Strum,276,Eleva-Strum High,5.1%,
293,83,High School9–12,Elk Mound Area,317,Elk Mound High,1.6%,
294,68,Middle School5–8,Elk Mound Area,382,Elk Mound Middle,4.2%,
295,83,Elementary SchoolK4–8,Elkhart Lake-Glenbeulah,288,Elkhart Lake Elementary/Middle,5.8%,
296,70,High School9–12,Elkhorn Area,856,Elkhorn Area High,7.0%,
297,76,Middle School6–8,Elkhorn Area,768,Elkhorn Area Middle,3.9%,
298,74,Elementary/Secondary SchoolK4–12,Elkhorn Area,143,Elkhorn Options Virtual School,36.0%,"Charter
Virtual"
299,78,Elementary SchoolK4–5,Elkhorn Area,566,Jackson Elementary,7.5%,
300,86,Elementary SchoolK4–5,Elkhorn Area,408,Tibbets Elementary,5.2%,
301,-,High School9–12,Elkhorn Area,34,Walworth Co Educ Alt High,26.5%,Charter
302,65,High School9–12,Ellsworth Community,491,Ellsworth High,5.5%,
303,78,Middle School5–8,Ellsworth Community,508,Ellsworth Middle,5.3%,
304,86,Elementary SchoolK5–4,Ellsworth Community,358,Hillcrest Elementary,5.9%,
305,95,Elementary SchoolPK–5,Elmbrook,587,Brookfield Elementary,7.0%,
306,92,Elementary SchoolPK–5,Elmbrook,740,Burleigh Elementary,6.1%,
307,89,High School9–12,Elmbrook,"1,275",Central High,3.0%,
308,88,Elementary SchoolPK–5,Elmbrook,413,Dixon Elementary,5.1%,
309,84,High School9–12,Elmbrook,"1,216",East High,2.2%,
310,-,Elementary/Secondary School2–12,Elmbrook,35,Fairview South,31.4%,
311,87,Middle School6–8,Elmbrook,797,Pilgrim Park Middle,2.6%,
312,92,Elementary SchoolPK–5,Elmbrook,750,Swanson Elementary,7.2%,
313,94,Elementary SchoolPK–5,Elmbrook,378,Tonawanda Elementary,3.7%,
314,76,Elementary SchoolK4–5,Elmwood,151,Elmwood Elementary,10.8%,
315,-,High School9–12,Elmwood,93,Elmwood High,9.7%,
316,72,High School9–12,Evansville Community,549,Evansville High,6.6%,
317,70,Middle School6–8,Evansville Community,425,J C McKenna Middle,3.1%,
318,-,Elementary SchoolK4–2,Evansville Community,489,Levi Leonard Elementary,5.0%,
319,83,Elementary SchoolK4–5,Fall Creek,386,Fall Creek Elementary,5.3%,
320,67,High School9–12,Fall Creek,255,Fall Creek High,3.5%,
321,74,Elementary SchoolK4–5,Fall River,242,Fall River Elementary,7.7%,
322,82,Elementary SchoolK4–5,Fennimore Community,407,Fennimore Elementary,6.0%,
323,77,High School9–12,Fennimore Community,248,Fennimore High,4.0%,
324,81,Elementary SchoolK4–5,Flambeau,291,Flambeau Elementary,11.9%,
325,53,High School9–12,Flambeau,167,Flambeau High,8.4%,
326,83,Elementary SchoolK4–6,Florence County,214,Florence Elementary,3.7%,
327,-,High School9–12,Florence County,106,Florence High,5.7%,
328,84,Elementary SchoolK4–5,Fond du Lac,346,Chegwin Elementary,16.5%,
329,74,Elementary SchoolK4–5,Fond du Lac,318,Evans Elementary,9.4%,
330,60,High School9–12,Fond du Lac,"2,096",Fond du Lac High,8.3%,
331,75,Elementary School3–5,Fond du Lac,62,Fond du Lac STEM Academy,12.9%,Charter
332,77,Middle School6–9,Fond du Lac,92,Fond du Lac STEM Institute,14.1%,Charter
333,93,Elementary SchoolK4–5,Fond du Lac,391,Lakeshore Elementary,6.9%,
334,55,Elementary SchoolK4–5,Fond du Lac,263,Parkside Elementary,22.4%,
335,76,Elementary SchoolK4–5,Fond du Lac,395,Pier Elementary,15.8%,
336,71,Elementary SchoolK4–5,Fond du Lac,299,Riverside Elementary,10.4%,
337,76,Elementary SchoolK4–5,Fond du Lac,409,Roberts Elementary,13.5%,
338,81,Elementary SchoolK4–5,Fond du Lac,422,Rosenow Elementary,8.5%,
339,87,Middle School6–8,Fond du Lac,411,Sabish Middle,10.2%,
340,85,Middle School6–8,Fond du Lac,495,Theisen Middle,5.7%,
341,87,Elementary SchoolK4–5,Fond du Lac,420,Waters Elementary,8.1%,
342,81,Elementary SchoolPK–5,Fort Atkinson,274,Barrie Elementary,4.0%,
343,65,High School9–12,Fort Atkinson,911,Fort Atkinson High,6.3%,
344,78,Middle School6–8,Fort Atkinson,640,Fort Atkinson Middle,4.8%,
345,79,Elementary SchoolPK–5,Fort Atkinson,256,Luther Elementary,9.0%,
346,73,Elementary SchoolK4–5,Fort Atkinson,366,Purdy Elementary,11.9%,
347,89,Middle School5–8,Fox Point J2,367,Bayside Middle,5.7%,
348,87,Elementary SchoolPK–6,Franklin Public,367,Ben Franklin Elementary,5.4%,
349,93,Elementary SchoolPK–6,Franklin Public,502,Country Dale Elementary,7.6%,
350,75,Middle School7–8,Franklin Public,720,Forest Park Middle,2.9%,
351,77,High School9–12,Franklin Public,"1,508",Franklin High,3.0%,
352,91,Elementary SchoolPK–6,Franklin Public,496,Pleasant View Elementary,7.1%,
353,93,Elementary SchoolPK–6,Franklin Public,525,Robinwood Elementary,7.1%,
